2026-02-11 08:23:23 GMT LOG:  database system was interrupted; last known up at 2026-02-10 09:09:59 GMT
2026-02-11 08:23:24 GMT LOG:  database system was not properly shut down; automatic recovery in progress
2026-02-11 08:23:24 GMT LOG:  redo starts at 0/1CD6F50
2026-02-11 08:23:24 GMT LOG:  invalid record length at 0/1CD6F88: expected at least 24, got 0
2026-02-11 08:23:24 GMT LOG:  redo done at 0/1CD6F50 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2026-02-11 08:23:24 GMT LOG:  checkpoint starting: end-of-recovery immediate wait
2026-02-11 08:23:24 GMT LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.011 s, total=0.030 s; sync files=2, longest=0.007 s, average=0.006 s; distance=0 kB, estimate=0 kB; lsn=0/1CD6F88, redo lsn=0/1CD6F88
2026-02-11 12:30:23 GMT LOG:  shutting down
2026-02-11 12:30:23 GMT LOG:  checkpoint starting: shutdown immediate
2026-02-11 12:30:23 GMT ERROR:  canceling statement due to user request
2026-02-11 12:30:23 GMT ERROR:  canceling statement due to user request
2026-02-11 12:30:23 GMT LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 0 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.001 s, total=0.058 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB; lsn=0/1CD7038, redo lsn=0/1CD7038
